datetime,symbol,open,high,low,close,volume
2025-04-16 15:32:00,WIN,145885.0,145891.0,145791.0,145852.0,866564698.98
2025-04-16 15:33:00,WIN,145858.0,145919.0,145852.0,145897.0,506704283.29
2025-04-16 15:34:00,WIN,145897.0,145897.0,145769.0,145808.0,824529343.96
2025-04-16 15:35:00,WIN,145813.0,145813.0,14568.0,145697.0,1111321816.42
2025-04-16 15:36:00,WIN,145691.0,14573.0,145652.0,145713.0,744113569.41
2025-04-16 15:37:00,WIN,145713.0,145719.0,145636.0,145658.0,613382029.38
2025-04-16 15:38:00,WIN,145658.0,145669.0,14558.0,14563.0,853228131.97
2025-04-16 15:39:00,WIN,145625.0,145702.0,145619.0,145658.0,641770940.5
2025-04-16 15:40:00,WIN,145658.0,14568.0,14558.0,145636.0,714113796.88
2025-04-16 15:41:00,WIN,145636.0,145697.0,145608.0,14568.0,613891505.68
2025-04-16 15:42:00,WIN,14568.0,145702.0,145625.0,145691.0,513064996.71
2025-04-16 15:43:00,WIN,145691.0,145713.0,145658.0,14568.0,408081127.39
2025-04-16 15:44:00,WIN,145686.0,145752.0,145675.0,145725.0,469759935.7
2025-04-16 15:45:00,WIN,145725.0,145774.0,145697.0,145708.0,696191791.12
2025-04-16 15:46:00,WIN,145708.0,14578.0,145702.0,145747.0,474616523.94
2025-04-16 15:47:00,WIN,145747.0,14578.0,145725.0,145752.0,439006827.28
2025-04-16 15:48:00,WIN,145747.0,145763.0,145725.0,145747.0,313023197.66
2025-04-16 15:49:00,WIN,145747.0,145774.0,145725.0,145763.0,326311375.97
2025-04-16 15:50:00,WIN,145769.0,14578.0,145725.0,145752.0,399197910.12
2025-04-16 15:51:00,WIN,145747.0,145813.0,145725.0,145758.0,675979497.14
2025-04-16 15:52:00,WIN,145763.0,145774.0,145708.0,145741.0,600715961.64
2025-04-16 15:53:00,WIN,145747.0,145752.0,145675.0,145736.0,579721634.24
2025-04-16 15:54:00,WIN,145741.0,145813.0,145719.0,145763.0,633316310.04
2025-04-16 15:55:00,WIN,145763.0,145808.0,14573.0,14578.0,659192571.77
2025-04-16 15:56:00,WIN,145774.0,145808.0,145752.0,145791.0,366556887.19
2025-04-16 15:57:00,WIN,145786.0,145786.0,145719.0,14573.0,583067900.65
2025-04-16 15:58:00,WIN,14573.0,145741.0,145647.0,145669.0,858019683.14
2025-04-16 15:59:00,WIN,145675.0,145675.0,145586.0,145614.0,705625647.68
2025-04-16 16:00:00,WIN,145614.0,145625.0,145536.0,145602.0,748976137.83
2025-04-16 16:01:00,WIN,145602.0,145647.0,145558.0,145586.0,764394688.17
2025-04-16 16:02:00,WIN,145586.0,145625.0,145536.0,145541.0,617850941.8
2025-04-16 16:03:00,WIN,145536.0,145541.0,145436.0,145458.0,1148463624.21
2025-04-16 16:04:00,WIN,145458.0,145469.0,145397.0,145458.0,724157256.35
2025-04-16 16:05:00,WIN,145453.0,145514.0,145453.0,145491.0,541542658.02
2025-04-16 16:06:00,WIN,145491.0,145508.0,145414.0,145475.0,401375901.55
2025-04-16 16:07:00,WIN,14548.0,14548.0,145314.0,145358.0,1024001878.26
2025-04-16 16:08:00,WIN,145358.0,145403.0,145319.0,145386.0,560375824.41
2025-04-16 16:09:00,WIN,145386.0,145408.0,14533.0,145391.0,584895839.09
2025-04-16 16:10:00,WIN,145391.0,145408.0,14528.0,145319.0,821318958.7
2025-04-16 16:11:00,WIN,145314.0,145342.0,145253.0,145292.0,800327235.62
2025-04-16 16:12:00,WIN,145292.0,145364.0,14528.0,145336.0,438901106.79
2025-04-16 16:13:00,WIN,145342.0,145369.0,145303.0,145369.0,502318651.54
2025-04-16 16:14:00,WIN,145369.0,145469.0,145364.0,145441.0,863297271.68
2025-04-16 16:15:00,WIN,145436.0,145447.0,145386.0,145447.0,511767975.29
2025-04-16 16:16:00,WIN,145441.0,145453.0,145347.0,145403.0,548690223.86
2025-04-16 16:17:00,WIN,145403.0,145408.0,145364.0,145391.0,280216003.05
2025-04-16 16:18:00,WIN,145386.0,145391.0,14533.0,145369.0,486305986.57
2025-04-16 16:19:00,WIN,145375.0,145414.0,145358.0,145369.0,428440138.32
2025-04-16 16:20:00,WIN,145369.0,145369.0,145297.0,145319.0,581585901.12
2025-04-16 16:21:00,WIN,145319.0,145325.0,145264.0,14528.0,612825750.73
2025-04-16 16:22:00,WIN,14528.0,145286.0,145158.0,145197.0,1214370194.02
2025-04-16 16:23:00,WIN,145197.0,145197.0,145131.0,145164.0,741371072.29
2025-04-16 16:24:00,WIN,145164.0,145164.0,145036.0,145058.0,992951820.2
2025-04-16 16:25:00,WIN,145058.0,145058.0,144964.0,14502.0,953236724.23
2025-04-16 16:26:00,WIN,14502.0,145036.0,144897.0,144953.0,1088058134.2
2025-04-16 16:27:00,WIN,144953.0,144959.0,144831.0,144914.0,996466081.09
2025-04-16 16:28:00,WIN,144914.0,144964.0,144886.0,144931.0,647757891.14
2025-04-16 16:29:00,WIN,144925.0,144931.0,144814.0,144842.0,760265178.32
2025-04-16 16:30:00,WIN,144848.0,144875.0,144764.0,14487.0,1118427343.4
2025-04-16 16:31:00,WIN,144875.0,144947.0,144792.0,144942.0,1054254661.05
2025-04-16 16:32:00,WIN,144947.0,145081.0,144931.0,145047.0,1222470625.22
2025-04-16 16:33:00,WIN,145047.0,145125.0,145014.0,14512.0,794154977.17
2025-04-16 16:34:00,WIN,145114.0,145125.0,145064.0,145086.0,495294026.25
2025-04-16 16:35:00,WIN,145086.0,14512.0,145025.0,145108.0,581698697.47
2025-04-16 16:36:00,WIN,145114.0,14512.0,14502.0,145086.0,550347962.02
2025-04-16 16:37:00,WIN,145086.0,145086.0,14497.0,145014.0,657620511.01
2025-04-16 16:38:00,WIN,145008.0,145031.0,144981.0,14502.0,398854564.43
2025-04-16 16:39:00,WIN,145014.0,145053.0,144936.0,145014.0,698040283.3
2025-04-16 16:40:00,WIN,145014.0,145042.0,144942.0,144959.0,650490492.72
2025-04-16 16:41:00,WIN,144953.0,144992.0,144897.0,14497.0,703816818.72
2025-04-16 16:42:00,WIN,14497.0,14497.0,144897.0,144959.0,538053744.33
2025-04-16 16:43:00,WIN,144959.0,145025.0,144925.0,145014.0,490957180.63
2025-04-16 16:44:00,WIN,145014.0,145025.0,144931.0,144986.0,564736155.58
2025-04-16 16:45:00,WIN,144986.0,145014.0,144936.0,144975.0,468621891.32
2025-04-16 16:46:00,WIN,144981.0,144986.0,14492.0,144986.0,606185024.67
2025-04-16 16:47:00,WIN,144986.0,145058.0,144942.0,144975.0,745740702.87
2025-04-16 16:48:00,WIN,144975.0,145036.0,144947.0,145031.0,518651315.41
2025-04-16 16:49:00,WIN,145036.0,145047.0,144992.0,145042.0,330723550.52
2025-04-16 16:50:00,WIN,145036.0,145203.0,145036.0,145169.0,1583991215.77
2025-04-16 16:51:00,WIN,145169.0,145181.0,145086.0,145147.0,566733466.15
2025-04-16 16:52:00,WIN,145147.0,145197.0,145125.0,145197.0,482174306.45
2025-04-16 16:53:00,WIN,145197.0,145242.0,145164.0,145219.0,783078075.92
2025-04-16 16:54:00,WIN,145225.0,145275.0,145169.0,145197.0,681345251.96
2025-04-16 16:55:00,WIN,145197.0,145197.0,145008.0,145136.0,1277314635.32
2025-04-16 16:56:00,WIN,145131.0,145192.0,145114.0,145164.0,462146589.83
2025-04-16 16:57:00,WIN,145169.0,145169.0,145103.0,14512.0,332154194.01
2025-04-16 16:58:00,WIN,14512.0,145164.0,145058.0,145075.0,500813722.63
2025-04-16 16:59:00,WIN,14507.0,145097.0,145047.0,145075.0,291508140.76
2025-04-16 17:00:00,WIN,145081.0,14512.0,145064.0,145097.0,400443845.26
2025-04-16 17:01:00,WIN,145097.0,145158.0,145092.0,145153.0,371302900.42
2025-04-16 17:02:00,WIN,145153.0,145169.0,145103.0,145153.0,343161392.39
2025-04-16 17:03:00,WIN,145153.0,145169.0,145136.0,145136.0,163794026.18
2025-04-16 17:04:00,WIN,145142.0,145181.0,145131.0,145142.0,277922625.39
2025-04-16 17:05:00,WIN,145136.0,145192.0,145125.0,145153.0,258724038.71
2025-04-16 17:06:00,WIN,145147.0,145175.0,145136.0,145153.0,179091886.16
2025-04-16 17:07:00,WIN,145158.0,145169.0,145092.0,145103.0,304991939.82
2025-04-16 17:08:00,WIN,145097.0,145114.0,145047.0,145064.0,348741532.19
2025-04-16 17:09:00,WIN,14507.0,145075.0,145025.0,145053.0,377415300.48
2025-04-16 17:10:00,WIN,145058.0,145108.0,145053.0,145081.0,257432066.08
2025-04-16 17:11:00,WIN,145081.0,145108.0,14507.0,145075.0,141203561.89
2025-04-16 17:12:00,WIN,145075.0,145097.0,14507.0,145081.0,123292458.55
2025-04-16 17:13:00,WIN,145081.0,145081.0,145058.0,145081.0,125136454.78
2025-04-16 17:14:00,WIN,145075.0,145147.0,14507.0,145125.0,325791421.32
2025-04-16 17:15:00,WIN,145125.0,145131.0,145081.0,145092.0,133551608.51
2025-04-16 17:16:00,WIN,145092.0,145103.0,145064.0,145097.0,131244915.04
2025-04-16 17:17:00,WIN,145086.0,145097.0,145064.0,14507.0,76456520.48
2025-04-16 17:18:00,WIN,14507.0,145081.0,145014.0,145014.0,250842733.8
2025-04-16 17:19:00,WIN,145014.0,145036.0,144997.0,145025.0,234320484.86
2025-04-16 17:20:00,WIN,14502.0,145025.0,144975.0,144981.0,194854145.19
2025-04-16 17:21:00,WIN,144981.0,145003.0,144947.0,144953.0,247932403.15
2025-04-16 17:22:00,WIN,144953.0,144986.0,144936.0,14497.0,193206576.77
2025-04-16 17:23:00,WIN,144964.0,144981.0,144947.0,144964.0,118986487.39
2025-04-16 17:24:00,WIN,14497.0,14497.0,144931.0,144947.0,143698760.29
2025-04-16 17:25:00,WIN,144942.0,144997.0,144931.0,144975.0,196898955.27
2025-04-16 17:26:00,WIN,144964.0,145025.0,144964.0,145003.0,250589424.92
2025-04-16 17:27:00,WIN,145008.0,145008.0,144953.0,144953.0,152489496.29
2025-04-16 17:28:00,WIN,144953.0,145014.0,144953.0,144997.0,156933378.99
2025-04-16 17:29:00,WIN,144997.0,145031.0,144997.0,14502.0,89563304.13
2025-04-16 17:30:00,WIN,145025.0,14507.0,14502.0,145042.0,394033043.54
2025-04-16 17:31:00,WIN,145042.0,145081.0,145042.0,145042.0,164816452.31
2025-04-16 17:32:00,WIN,145047.0,145058.0,144925.0,144992.0,466588016.96
2025-04-16 17:33:00,WIN,144992.0,144992.0,144914.0,144925.0,331749808.76
